MCU问题单号,问题描述,进展,根因,对策,车族,车型,电驱代号,管理平台,问题类别,问题解析报告,问题解析附件,车辆类型,仪表指示灯,故障DTC,故障工况,故障时刻
SW-H56B-L160C-007,车辆软件升级失败，车辆限功率,,"1.Falsh写入过程中存在读取ROM区域的指令请求导致异常退出编程模式
2.异常退出编程模式后会导致FCU模块被锁，无法对Flash进行擦写，需要复位后才能重新刷写",,H56系列,H56b-PHEV-400V,L160C,智新控制400V-ID2,软件|应用层,https://hav4xarv6k.feishu.cn/file/DBCebWveKoqBRyx0pwyc3lO6nPb,https://hav4xarv6k.feishu.cn/drive/folder/N2w7f79z0lysjvdJR8HcmwZinje?from=from_copylink,试验车,动力系统故障黄灯,NA,无法确认故障工况,
SW-H97D-L160A-004,1010合肥多个仪表灯亮（32JT损坏）,,铜排打火,,H97系列,H97D-REV-400V,L160A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/docx/JJiYdiSyYoACrdxFcO5c0Vidnqr?from=from_copylink,铜排烧蚀问题 - 飞书云文档,商品车,动力系统故障黄灯,NA,车辆启动,
SW-H97a/c-L160A-025,1010合肥32JT损坏,,SW引脚无输出，合并32jt问题分析,,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,制造|工艺,http://32JT问题合并处理,32JT问题合并处理,商品车,"电机故障红灯, 动力系统故障黄灯",P161309,车辆启动,
SW-H97DLC-L200B-037,VCU复位及D档松安全带开车门整车抖动明显,,VCU在行驶过程中开车门会在不卸载扭矩的前提下直接关管，导致MCU带扭矩关管整车抖动。,,H97系列,H97D LC-REV-400V,L200B-2,智新科技400V-ID4,性能|驾驶性,http://VCU修改，保证扭矩为0Nm后，发送Standby,https://hav4xarv6k.feishu.cn/drive/folder/FO0Efm6nclBFuTd8ZqTcd9dznWf,试验车,无,NA,平稳驾驶,
SW-H37-L200B-016,踩刹车2-3kmh抖动,,平地&坡道维持在250rpm&20Nm附近，Id波动较大，扭矩控制不稳定,,H37系列,H37A-EV-400V,L200B,智新科技400V-ID4,性能|驾驶性,https://hav4xarv6k.feishu.cn/docx/PNtAdEHDwoSlCZxJn1ScvV6ontY,https://hav4xarv6k.feishu.cn/drive/folder/YOPgfEDyYlfXpMdBQWvc9SWTnKe?from=from_copylink,试验车,无,NA,平稳驾驶,
SW-H37-L200B-017,更改PI后，全油门加速弱磁阶段扭矩偏差,,,,H37系列,H37A-EV-400V,L200B,智新科技400V-ID4,软件|应用层,https://hav4xarv6k.feishu.cn/docx/Y2h9dk4Hbo8g6cxUY3Ecymndnvh,https://hav4xarv6k.feishu.cn/drive/folder/GTFdfTaetlA3f1dDccScJRgunhg?from=from_copylink,试验车,无,NA,激烈驾驶,
SW-H37A-H200A-046,油泵无通讯,,"1、CAN芯片无法工作；
2、給Can芯片供电的5V电压跌落到3.7V-3.9V，导致CAN芯片无法工作；
3、输出供电电压的三极管内部阻抗和管压降异常；
4、三级管内部分层",,H37系列,H37A-EV-800V,H200A,智新科技800V-ID4-同步,制造|来料,https://hav4xarv6k.feishu.cn/slides/MtlTsqGwklUoPidFJddczBwunJc,https://hav4xarv6k.feishu.cn/drive/folder/QHbRfIv0NlnvyAdPFCWckMQlnEb,商品车,"电机故障黄灯, 动力系统故障黄灯",U069887,车辆启动,
SW-H97a/c-L160A-026,1013成都上高压报B相desat,,32jt问题，同时铜排打火,,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,制造|工艺,http://32JT问题合并处理,32JT问题合并处理,商品车,"电机故障红灯, 动力系统故障黄灯",P161209,车辆启动,
SW-H97D-L160A-005,1015长沙无法ready,,铜排打火,,H97系列,H97D-REV-400V,L160A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/docx/OO8RdvzOJokhZMxPAu1c7Cevn8d?from=from_copylink,铜排烧蚀问题 - 飞书云文档,商品车,动力系统故障红灯,NA,车辆启动,
SW-H97a/c-L160A-027,1015长沙漏液，IGBT铜排烧蚀,,IGBT侧框开裂，合并质量问题分析,,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,硬件|高压侧,http://合并铜排烧蚀问题处理,铜排烧蚀问题合并处理,商品车,"电机故障红灯, 动力系统故障红灯",NA,车辆启动,
