MCU问题单号,问题描述,进展,根因,对策,车族,车型,电驱代号,管理平台,问题类别,问题解析报告,问题解析附件,车辆类型,仪表指示灯,故障DTC,故障工况,故障时刻
SW-H97A-金康-001,母线过压导致动力中断，故障清除以后，车辆恢复正常,,电压采样干扰触发硬件过压,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|底层,https://hav4xarv6k.feishu.cn/file/YFexb1Vnxou4FPxbmQqcNxkMnjb?from=from_copylink,https://hav4xarv6k.feishu.cn/drive/folder/VRRVfDAJ2lKAQFdvgGNcTqAvnFd?from=from_copylink,试验车,"电机故障红灯, 动力系统故障黄灯",P161517,平稳驾驶,
SW-H97A-金康-002,功率受限，100km/h减速到40km/h再加速时，加速无力,,工况超范围，IGBT过温,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|应用层,http://无,无,试验车,"电机故障黄灯, 电机过温故障灯",P0A3C98,平稳驾驶,
SW-H97A-金康-003,前电机故障，无法行驶,同DFH-H97-SW-SY-0734,EEPROM异常,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|底层,http://无,无,试验车,动力系统故障红灯,NA,车辆启动,
SW-H97A-金康-004,车辆正常行驶突发动力丢失,,EEPROM异常,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|底层,https://hav4xarv6k.feishu.cn/file/RkQgblJtjoNYqIxwhdVcLkxBnMd,https://hav4xarv6k.feishu.cn/drive/folder/Lmhqfxng9lVKxhdflhncVFItngg?from=from_copylink,试验车,动力系统故障红灯,NA,车辆启动,
SW-H97A-金康-005,车辆动力频繁丢失,同DFH-H97-SW-SY-0734,EEPROM异常,NA,H97系列,H97A-REV-400V,L255,金康400V,软件|底层,http://无,无,试验车,动力系统故障红灯,NA,平稳驾驶,
SW-H97A-金康-006,倒车时发动机排放故障指示灯ML常亮,,超速阈值设置不合理,超速阈值调整,H97系列,H97A-REV-400V,L255,金康400V,软件|应用层,http://无,无,试验车,动力系统故障黄灯,P161437,平稳驾驶,
SW-H56A-L160A-001,STP2有错误帧，所有控制器节点不在线,,更换CAN芯片后软件参数配置错误,,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,软件|底层,https://hav4xarv6k.feishu.cn/file/GQqDb3d3Pouy4XxmsBccc0Ecn3e,https://hav4xarv6k.feishu.cn/drive/folder/Kz10fvUS2l1KkDdyBoIcEPnWnrh?from=from_copylink,试验车,动力系统故障红灯,U162087,车辆启动,
SW-H56A-L160A-002,突然断高压，车辆趴窝，拔插蓄电池仍然无法恢复,,铜排螺栓未打紧,单件问题，更换MCU,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,制造|工艺,https://hav4xarv6k.feishu.cn/file/GBkEbV5KAor7JcxaebRcEqxWnlh,https://hav4xarv6k.feishu.cn/drive/folder/HwFUf24xzlc1qyd4obFc01TNnzf?from=from_copylink,试验车,"电机故障红灯, 动力系统故障红灯","P161209,P162209",激烈驾驶,
SW-H56A-L160A-003,坡道起步车辆动力不足，并伴有“咚咚”异响,,0欧电阻，偶发旋变故障,,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,硬件|高压侧,https://hav4xarv6k.feishu.cn/file/ETLpbQLI0ofuGAxDwlycp7GtnEh,https://hav4xarv6k.feishu.cn/drive/folder/SzjifWgfhlxV1MdRCTGczopgnuc?from=from_copylink,试验车,"电机故障红灯, 动力系统故障黄灯",P0A3F09,车辆启动,
SW-H531-L160A-001,6#改制车前电机绝缘阻值低,,"三合一EOL测试台架正/负极对机壳之间有268V/265V的交流电压（3.3kHz），存在异常,该异常可能会导致Y电容异常过温，导致Y电容破损。在供应商处制作特殊样件：1. 鹰峰制作Y电容特殊样件，在内部放置热电偶2. 在母线电容壳体粘贴热电偶，将试验样件上带有异常交流电的台架进行测试，故障复现，与现场故障现象相同。 此处H53电机故障现象与H56故障电机现象相同，此根本原因调查为H56调查所得。",,H53系列,H531-PHEV-400V,L160C,智新控制400V-ID2,制造|工艺,https://hav4xarv6k.feishu.cn/file/WN7eb1xv9oEsjzxWklWc9EDbnJc,https://hav4xarv6k.feishu.cn/drive/folder/BaVwfdp04lxtMCd4Ar5cbwKEnHe?from=from_copylink,试验车,无,NA,无法确认故障工况,
SW-H56A-L160A-004,在一般公路做制动后停车时，发现电机报警灯亮，车辆下电熄火后再次启动，报警灯消失,,93故障检测自身bug,,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,软件|底层,http://无,无,试验车,电机故障红灯,NA,平稳驾驶,
SW-H97A-金康-007,更换后驱动电机总成和GCU后整车无法上高压，显示IGBT故障,,该MCU的主控芯片更换为ST的芯片，手动焊接，低压电压值较低时会误报IGBT故障,量产件无此问题,H97系列,H97A-REV-400V,L255,金康400V,制造|工艺,http://无,无,试验车,"电机故障红灯, 动力系统故障红灯",P161209,车辆启动,
SW-H97a/c-L160A-001 ,襄阳转毂上进行爬坡测试过程中，MFUF0突然丢失通讯，VCU继续试验，试验结束后，MFUF0无法取得通讯,,电源MOS引脚虚焊,加强下线检测,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,制造|工艺,https://hav4xarv6k.feishu.cn/file/YLwWb7p3VoKI2jxDYXic8maCnHg,https://hav4xarv6k.feishu.cn/drive/folder/Eq2qf437alcWqndMORdcBKzpnI9?from=from_copylink,试验车,动力系统故障红灯,NA,激烈驾驶,
SW-H37A-L200A-001,上高压后整车无法行驶,,MCU驱动板上电检测逻辑过于严苛，在完成初始化但电压未稳定时，就会锁存驱动欠压故障，并在软件初始化完成后持续上报,,H37系列,H37A-EV-400V,L200A,智新控制400V-ID2,软件|底层,http://无,无,试验车,"电机故障红灯, 动力系统故障黄灯",P162209,车辆启动,
SW-H53A-L200A-001,上高压后整车无法行驶,,上电驱动欠压,,H53系列,H53A-EV-400V,L200A,智新控制400V-ID2,软件|底层,http://无,无,试验车,"电机故障红灯, 动力系统故障黄灯",P162209,车辆启动,
SW-H56A-L160A-005,电机故障灯亮车辆失去动力。PPC-16#车，12月26日，15点59，车速10km/h经过石条路后，电机故障灯亮起，车辆失去动力。断负极重启后车辆恢复。,,前后电机控制器先后上报电机转速不合理校验故障，导致整车下ready。具体原因是行驶在石条路上，由于受地面激励，电机转速和IPB轮速连续波动，但IPB轮速由于滤波原因无法同步做到和电机转速成较为恒定的比例关系（由于电机轴和车轮是机械连接，正常电机转速和IPB轮速应是恒定比例关系），导致和IPB轮速校验的转速差超过阈值600rpm，从而上报故障。,,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,软件|应用层,http://无,无,试验车,"电机故障红灯, 动力系统故障红灯",P291A62,激烈驾驶,
SW-H53A-L200A-002,后电机一直无扭矩输出,,上电驱动欠压,,H53系列,H53A-EV-400V,L200A,智新控制400V-ID2,软件|底层,https://hav4xarv6k.feishu.cn/file/NCZObFvf8o2KVrxRV8ScGSGlnoc,https://hav4xarv6k.feishu.cn/drive/folder/YhpBf5KfKlfGNJd0gLtciFkWned?from=from_copylink,试验车,"电机故障红灯, 动力系统故障黄灯",P162209,车辆启动,
SW-H97a/c-L200A-001,夜间户外锁车充电，早上检车发现蓄电池馈电，无法正常解闭锁；午间锁车约半小时后，蓄电池再次馈电,,网络管理配置错误,将唤醒源变量清零程序前置于BUS SLEEP之前，先进行清零再进行状态跳转，规避该问题,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|底层,https://hav4xarv6k.feishu.cn/file/UhPxbYWGro1gaxxO9vVcE1Mjnbc,https://hav4xarv6k.feishu.cn/drive/folder/VxfLfXYXxlYttid0EmHclRfnng4?from=from_copylink,试验车,"电机故障红灯, 动力系统故障红灯",B111716,充电,
SW-H97a/c-L200A-002,舒适模式，维持仪表车速70km/h，感觉到动力输出有快速波动,,"通过前期软件与硬件排查，最终分析出由于旋变软解码硬件层输出的激励信号存在“缺口”现象。根据旋转位置传感器的工作原理可知，这种“缺口”会影响到旋转位置传感器输出Sin、Cos信号；产生激励信号“缺口”的原因：
1.调整弦变Sin信号和Cos信号的偏置电压设计不合理，由5V调整为2.5V，针对PCBA上的改动为U27位号由空贴改为贴片。
2.旋变软解码硬件PNP和NPN三极管放置出现错误，导致励磁信号出现些许畸变。
另外，旋变软解码算法由于旋变软解码算法的滤波模块设计不合理导致解算旋变角度呈现规律的畸变。",修改旋变采样软硬件,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/slides/LPIsscfRQl41eldmxJIchkeVnhg,https://hav4xarv6k.feishu.cn/drive/folder/GovVfylONlG2AFdBxrhcWPyGn1d,试验车,无,NA,平稳驾驶,
SW-H531-L160A-002,2021年1月11日，时间15:45，地点牙克石，故障里程：200km，日间一般公里正常行驶，最低气温约-24°C，ET0-2-238#样车短暂挂入P档停车后，再挂入D档行驶约20M，小上坡时突然挡位变至N档，失去动力，此时空调无法关闭，不能按照要求重连小电瓶（数据视频见东风云盘\ShareCache\耐久试验数据存储\H53项目\试验问题数据）。,,"转速不合理故障诊断逻辑是将IPB的轮速传感器发出的数据反算为电机转速，然后与电机的转速进行对比，如果超过阈值将发故障码；由于IPB对于采集的轮速滤波与电机转速的滤波，两者逻辑与滤波程度相差较大，导致在颠簸坏路下两者的数值相差较大，导致故障发生：
1、现在根据故障发生时的数据将阈值从600rpm修改到850rpm，避免故障误报
2、修改诊断逻辑，将累计20次超过阈值即报故障修好为连续20次超过阈值即报故障",,H53系列,H531-PHEV-400V,L160C,智新控制400V-ID2,软件|应用层,http://无,无,试验车,"电机故障红灯, 动力系统故障黄灯",P291A62,激烈驾驶,
SW-H97a/c-L200A-003,小电瓶电压不稳导致后电机驱动桥故障,,上电KL30不稳定，Fault B锁存,"在控制器完成初始化，kl15点火后，1500ms时间内，若发生逆变砖faultB(欠压)故障,软件持续检测供给逆变砖电压是否恢复正常(>29V)
1.若恢复正常，则判定电压稳压OK，对逆变砖欠压故障进行复位，完成上电
2.若仍不正常，由于已参考H53低压诊断时间，可排查上电时刻低压异常原因",H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|底层,https://hav4xarv6k.feishu.cn/file/IhfAb0wPionGB7xGd8AcjhFAnRh,https://hav4xarv6k.feishu.cn/drive/folder/CnvCfSxUGlNuHYdFgW8cgZmWnPb?from=from_copylink,试验车,"电机故障红灯, 动力系统故障黄灯","P162209,P162309",车辆启动,
SW-H56A-L160A-006,路试过程中，仪表点亮驱动电机故障灯，车辆限功,,电流环失控，软件过流,,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,软件|底层,http://无,无,试验车,"电机故障红灯, 动力系统故障黄灯",P0A6819,激烈驾驶,
SW-H97a/c-L200A-004,下电状态做后电机的电检返修会偶发报动力系统故障灯,,状态机,更改软件，增加放电判断条件：自检完成标志位为1,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|底层,https://hav4xarv6k.feishu.cn/file/Sn2kbu0TQoo7gQxcRO8cVBo7nKf,https://hav4xarv6k.feishu.cn/drive/folder/NjYjfjVOflxqcfdewfkcChyXnud?from=from_copylink,商品车,动力系统故障红灯,NA,车辆启动,
 SW-H97a/c-L160A-002 ,做TBOX电检返修时偶发报前电机通讯丢失,,GCU CAN芯片更改，导致持续唤醒MCUF无法休眠,MCUF优化被GCU异常唤醒的条件,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,软件|底层,https://hav4xarv6k.feishu.cn/file/JigZbREQEolzsxxmMIWcDpbKnGu,https://hav4xarv6k.feishu.cn/drive/folder/K7hafSHFPluFYSdeYlqctCSmnQb?from=from_copylink,试验车,动力系统故障红灯,NA,车辆启动,
SW-H97a/c-L200A-005,偶发全油门加速无力，三种驾驶模式均如此。熄火后重新上电故障消失,,逆变砖温度跳变，内部状态机异常,针对该IGBT温度上电跳变导致过温故障报出，进行IGBT过温故障上电延迟检测，由200ms→2s,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|底层,https://hav4xarv6k.feishu.cn/file/Smsgb1ZRLosjtlx7SS5cwVUhnlg,https://hav4xarv6k.feishu.cn/drive/folder/SLvSf3PoylGtjpdQQs0c9wPMnff?from=from_copylink,试验车,"电机故障红灯, 动力系统故障黄灯",P0A3C98,车辆启动,
SW-H97a/c-L200A-006,sport模式全油门起步，加速过程中，底盘听到一声巨响后，动力受限，加速无力,在后电机防抖标定过程中，改动后电机电流环的PI参数，导致在全油门低转速时由于电流环参数不合适导致MCUR报硬件过流三级故障,PI设置不合理，硬件过流,更新PI参数,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|底层,http://无,无,试验车,"电机故障红灯, 动力系统故障黄灯",P0A5F19,激烈驾驶,
SW-H97a/c-L200A-007,车辆下线时仪表报动力系统故障灯，无法ready,,高压线束端子正负极短接,母线接插件结构上增加正负极限位导向,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/file/IFUhbnWOXogmlQx4eOXc0sDInxb,https://hav4xarv6k.feishu.cn/drive/folder/DoScf6MZgl7zxWd3DLAcH3iynlf?from=from_copylink,商品车,"电机故障红灯, 动力系统故障红灯",NA,车辆启动,
SW-H97a/c-L200A-008,车辆SOC91%，低速正常路面行驶，户外温度-10，仪表报严重系统故障，动力即将丢失故障，停车重连蓄电池后故障消失，仪表报发动机故障灯,,电容单品失效,"为防止电容出厂前问题件流出以及运输过程中磕碰
采取以下措施:
1、有防静电袋放到固定卡槽内并使用气泡袋包装;
2、周转匡使用双档杆固定PCBA位置,防磕碰;
3、增加MCU总成上下电测试;
4、增加FCT工装，导入设计增加行程,防磕碰。",H97系列,H97a/c-REV-400V,L200A-2,巨一400V,制造|来料,https://hav4xarv6k.feishu.cn/file/IKB2bDYKBo8gnjxufJBcuhcnnBg,https://hav4xarv6k.feishu.cn/drive/folder/HLvYfYyr8ldk01d2UVmcEPCRndc?from=from_copylink,试验车,"电机故障红灯, 动力系统故障红灯",P161209,平稳驾驶,
SW-H53A-L200A-003,车辆正常行驶时出现动力丢失：ET0-2-238#样车2022年2月28日于牙克石冬季耐久试验中正常行驶在国道上，车速50km/h-60km/h时候突然出现动力丢失，重连蓄电池后动力恢复。,馈电高压断开故障已评审删除,逆变砖电压采样跳变，触发馈电高压断开故障,,H53系列,H53A-EV-400V,L200A,智新控制400V-ID2,软件|底层,https://hav4xarv6k.feishu.cn/file/MKyMbCdDnof8dHx4miIcNMbGnHc,https://hav4xarv6k.feishu.cn/drive/folder/XWrKffzTpl3MRodjf1PcbirNnuN?from=from_copylink,试验车,"电机故障红灯, 动力系统故障红灯",NA,平稳驾驶,
SW-H53A-L200A-004,全油门时，电机消耗电功率与反馈功率有差距，反馈功率偏小，导致电池过放,,"MCUR前期未导入能量管理策略，报文输出功率为机械功率。
但VCU实际需求的功率数据为电功率，因此中间缺少了效率折损的计算，导致报文传递的功率较需求值更小。
现象即电机使用的电功率大，但实际输出的功率（机械功率）小，VCU误判断放电功率合理，导致过放。",,H53系列,H53A-EV-400V,L200A,智新控制400V-ID2,软件|应用层,https://hav4xarv6k.feishu.cn/slides/O486sEbttlSVyldUCiwcmFqLncZ,https://hav4xarv6k.feishu.cn/drive/folder/BoLGf1Dx1lGOKbd35rkctEOencf,试验车,动力系统故障红灯,NA,激烈驾驶,
SW-H97a/c-L160A-003,REV车型整车静态电流超标严重，表现是MCU-F未休眠，初步判断GCU导致,GCU硬件变更，休眠时间变长，从GW停发NM报文到GCU自己停发APP报文大概5s左右，而MCUF在GW停发NM报文后2s时间会执行软件下电流程，此时GCU还在发APP报文，实际MCUF CAN芯片处于唤醒状态（任意帧唤醒），最后GCU停发APP报文，但是软件下电流程不会重新执行，CAN芯片仍处于唤醒状态，导致较大静态电流,GCU硬件变更，停发APP延长，影响MCUF休眠,同SW-H97A-L160-002,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,软件|底层,http://无,无,试验车,无,NA,无法确认故障工况,
SW-H97a/c-L200A-009,停车上电后车辆功率受限，仪表显示驱动电机故障和动力系统故障,,蓄电池负极松动未拧紧，导致蓄电池电压波动,NA,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,NA,http://无,无,试验车,"电机故障红灯, 动力系统故障黄灯",B111716,车辆启动,
SW-H97a/c-L200A-010,车辆动力系统故障灯黄灯，乌龟灯亮，电机故障灯亮红灯，动力受限最高时速30,,KL30不稳定，触发Busoff,NA,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|底层,http://无,无,试验车,"电机故障红灯, 动力系统故障黄灯",U007300,车辆启动,
SW-H97a/c-L200A-011,车辆起步车速约15km/h出一休时车后有咕咚异响声，车身有明显颠簸感，车辆加速无力,,高压母线接触不良，报欠压故障,,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/file/UNIVbfmICouCDpxHzUcc55hInxc,https://hav4xarv6k.feishu.cn/drive/folder/TdL8fXU6MlRb1FddFTccMlGdnMc?from=from_copylink,试验车,"电机故障红灯, 动力系统故障黄灯",P2D9E16,平稳驾驶,
SW-H56A-L160A-007,车辆行驶时有顿挫感,"MCUR最大扭矩跳0原因为：MCUR检测到PDCM22报文信号（扭矩请求）的rolling counter出现相同值情况上报E2E校验故障

PDCM报文PDCM22 Rolling Counter出现卡滞原因如下：
PDCM22帧(0xB5)中包含后电机需求扭矩，为功能安全相关信号，所以整帧的RollingCount和Checksum会由监控层计算，但由于VCU软件添加完监控软件后，10ms的时序比较多，而监控又处在10ms时序的后端，在部分软件负荷比较高的工况下，监控10ms时序的运行有可能会被delay，从而造成某一帧还未更新Buffer(包含rolling count信号)，而底层已经发送出去了，造成CAN上的rolling count卡滞；",Rolling Counter校验过严，PDCM报文卡滞报E2E故障,,H56系列,H56A-PHEV-400V,L160A,智新控制400V-ID2,软件|底层,http://无,无,试验车,电机故障黄灯,U163083,平稳驾驶,
SW-H97a/c-L200A-012,操作拖车模式整车进入拖车模式（整车自动下高压），然后操作退出拖车模式（车辆自动上高压，并且档位为N挡），仪表上出现发动机故障指示报警(CAN报文ESC点亮)。,,MCU N挡开管，导致预充短路,增加MCUR开管条件判断，在MCU处于主动放电模式以及整车处于OFF模式时不开管,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|应用层,https://hav4xarv6k.feishu.cn/file/TFMMbNRtwo7NXzxpF7kcoseYn5d,https://hav4xarv6k.feishu.cn/drive/folder/P7dmfRX19l26x0dhDrkclrKKnQf?from=from_copylink,试验车,动力系统故障红灯,NA,车辆启动,
SW-H97a/c-L200A-013,预约充电，车辆无法充电，充电桩显示暂停,,主动放电未退出，导致预充超时,优化MCU退出主动放电的条件，将KL15存在为必须条件改为非必须条件,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|应用层,https://hav4xarv6k.feishu.cn/file/VaLEbckpCoMPnoxWmYfcceGKnHe,https://hav4xarv6k.feishu.cn/drive/folder/KfcPfOZKAl2SbLdC9xycJtaSnWb?from=from_copylink,试验车,动力系统故障黄灯,NA,车辆启动,
SW-H97a/c-L160A-004,车辆P挡停车时，仪表时速为0，电机power%一直为-1,,关管下母线电流估算误差,"修改前：MCUF母线电流在关管时根据当时计算结果直接上报总线；
修改后：MCUF母线电流在关管时，设母线电流值为0",H97系列,H97a/c-REV-400V,L160A-2,巨一400V,软件|底层,http://无,无,试验车,无,NA,车辆启动,
SW-H97a/c-L200A-014,行驶途中电机故障灯动力系统故障灯红灯，车辆动力丢失抛锚,,变载频在转速突变时，控制失稳报硬件过流,由于NVH优化需要，后续在集成谐波注入功能时，有谐波注入时载频固定9K，无谐波注入时载频固定10K，可以完全避免该问题,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|应用层,https://hav4xarv6k.feishu.cn/file/HqEibNRJOoov38xeAbZcuT7Vn5f,https://hav4xarv6k.feishu.cn/drive/folder/OO7Jf0w0slTsaAdin3Fc91aNnKd?from=from_copylink,试验车,"电机故障红灯, 动力系统故障红灯",P0A5F19,激烈驾驶,
SW-H97a/c-L200A-015,四驱车辆在融雪泥泞路面无法脱困，前轮打滑空转 后轮不转无驱动力（仪表无任何故障提示）,,后电机偶发0扭矩导致整车加速无力。,,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|底层,http://无,无,试验车,电机故障黄灯,P0A3C98,平稳驾驶,
SW-H97a/c-L200A-016,AWD车型，VCU报后电驱逆变器模式请求不响应故障后，车辆可行驶，但起步加速过程中，车辆剧烈抖动,,CPLD芯片替换，软件上电后后电机状态在INIT无法跳转,CPLD分压电阻重新匹配方案导入,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|低压侧,https://hav4xarv6k.feishu.cn/file/Cxy7bxjTHo2SjGx1KUOcS74inT7,https://hav4xarv6k.feishu.cn/drive/folder/BIstfHe32lsgwedojqZc9Hyanlc?from=from_copylink,试验车,动力系统故障黄灯,NA,车辆启动,
SW-H97a/c-L200A-017,车辆行驶中主仪表显示发动机系统故障，车辆无法行驶及MIL灯，驱动电机故障灯，功率受限指示灯点亮（4月16日 15:23）,,"1、通过数据分析，确认MCU上报驱动芯片下桥Fault B故障。
2、Fault B信号由逆变砖通过排线传输到控制板，Fault B信号被同时传输至MCU和CPLD模块进行信号状态监控。MCU和CPLD对接收的Fault B信号的电平进行判断，当MCU或CPLD判断到接收到的Fault B信号为低电平时，系统上报Fault B故障。
3、对控制器进行开盖，测试故障复现时各相关信号的变化情况，发现FLTLB网络的TP点TP381脱落，TP381脱落导致MCU接收到的为低电平。",NA,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,制造|工艺,https://hav4xarv6k.feishu.cn/slides/UCvqs6hrslxVYVdBSNCcp65ZnRc,https://hav4xarv6k.feishu.cn/drive/folder/N1w6f1sIKlu57Zd7MnZc2FNinrd,试验车,"电机故障红灯, 动力系统故障黄灯",P162309,平稳驾驶,
SW-H97a/c-L200A-018,电机报故障、跛行，然后中途又能正常加速，但加速到80-90kph左右，没多久电机报过热故障,,"1． 后电机先报过流故障，主要是后电机软件版本号为02.00.00，软件释放日期为2022/03/21，这版软件集成谐波注入、变载频功能，这两项功能当前软件参数未标定成熟，在颠簸路面或者是过减速带会存在过流。
2． 电机报过温故障，由于过流三级故障没有消除（拔小电瓶或整车休眠后可消除）整车长时间高速行驶会导致电机过热（反电势长时间作用于电机绕组会导致温度升高），报过温故障。",PI参数优化,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|应用层,http://无,无,试验车,"电机故障红灯, 电机过温故障灯","P0A5F19,P0A3C98",激烈驾驶,
SW-H97a/c-L200A-019,车辆可以低速蠕行，但踩油门无法加速，且剧烈抖动（检测线四轮定位工位和转毂工位各出现1次，CAN报文中对应的故障标志位mcur0_f024==1）,"1.发生频率1+1
2.根因分析和永久措施对不上",在IGBT开管后，FaultA信号上存在较大干扰，且最大干扰毛刺的Vnnin小于CPLD本身的检测阈值0.8V，导致CPLD误触发故障,调整CPLD软件内部防抖单元测故障检测次数，防抖检测次数由现视行的5次(5*0.2us)调整为7次(7*0.2us)，提高CPLD端口的抗干扰能力,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,https://hav4xarv6k.feishu.cn/slides/PrgVsUah8lsRR2dMILQc2r01nYf,https://hav4xarv6k.feishu.cn/drive/folder/MenHfCdrOlA2XSdFpYNcR7awng7,试验车,"电机故障红灯, 动力系统故障黄灯",P161309,车辆启动,
SW-H97a/c-L200A-020,"上举升机检查后车辆无动力输出：H97-PPC-412#，2022年4月21日，仪表里程13248km，时间15:10，车辆更换完前后电机正常磨合127km,上举升机检查约5分钟落地后（螺簧，车辆正常断电，没有断蓄电池负极），车辆可以挂D挡，但是无法行驶，仪表报动力系统故障（红色），并提示“车辆异常，请就近靠边停车，并联系交付服务中心”，发动机排放故障指示灯点亮。尝试车辆断电无法恢复，断蓄电池负极再重新上电后车辆恢复正常，但是仪表发动机排放故障指示灯依然存在。",,"由于PT-1装车后电机控制器CPLD芯片替换，软件上电后后电机状态在INIT无法跳转，软件与硬件匹配问题导致（PT-1软件在PPC车上正常，PPC车CPLD芯片未变更）。
 导致电机状态在INIT无法跳转的原因：
 1.在MCU发出复位请求信号后，MCU执行了复位操作，但是在进行复位时，CPLD复位引脚未被拉低，导致CPLD复位失败；
 2.由于复位信号采用分压的方式传输到CPLD，由于CPLD内部上拉电阻的存在，导致复位时，CPLD端口电压无法被置低，未实现对CPLD的复位功能。",CPLD分压电阻重新匹配方案导入,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,硬件|高压侧,http://无,无,试验车,电机故障红灯,NA,车辆启动,
SW-H97a/c-L160A-005,车辆上ready后，仪表亮电机故障灯、乌龟灯和黄色动力系统故障灯,,低压供电不稳，过流电路异常产生,"软件(已导入)：
1、上KL15电后,延迟1.5s进行零漂检测
2、开管前，若发生硬件过流，软件清除该故障,不上报
3、开管后，在转速<100rpm，扭矩<5Nm下发生硬件过流，软件进行复位，并清除故障，第2次清除故障后再检测到过流，软件进行上报
4、硬件过流故障清除条件由休眠清除更改为重新上下电清除
硬件(待验证)：
5、硬件变更滤波电容，增加过流维持时间，8us变为20us",H97系列,H97a/c-REV-400V,L160A-2,巨一400V,软件|底层,https://hav4xarv6k.feishu.cn/slides/RUDQspvYTljITFduDA2cB2xgnBr,https://hav4xarv6k.feishu.cn/drive/folder/JPbZfUEg6lQUZzdjGemcEqtnnWe,试验车,"电机故障红灯, 动力系统故障黄灯",P0A5F19,车辆启动,
SW-H97a/c-L160A-006,车辆上举升机后前轮转动：H97-PPC-411#，2021年4月30日，仪表里程16509km，时间6:30前后，车辆P档上举升机检查时，左前和右前轮自主转动，可以手动停止，功能异常且存在安全隐患。,,车辆ready，VCU请求MCU使能，MCU处于工作状态，0Nm偏差致车轮转动,MCU修改软件，设定P档不开管,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,软件|应用层,https://hav4xarv6k.feishu.cn/slides/ICeDsZGv5lSbh9dZPcmctSz8nuh,https://hav4xarv6k.feishu.cn/drive/folder/RgkXf4uwels2PrddokVc556FnPh,试验车,无,NA,车辆启动,
SW-H97a/c-L200A-021,车辆馈电后，搭电启动给蓄电池补电，然后下电锁车休眠，发现整车无法休眠，分析报文发现是MCUR0一直在发送NM报文导致整车无法休眠。,,"1、后电机软件日期为5月2日，此版软件实际测试时，已知后电机无法休眠，会导致整车亏电。
2、正确释放的软件版本号为04.00.04，释放日期为5月3号，整车可正常休眠。",未释放正确版本号导致问题，在发货清单上体现版本号,H97系列,H97a/c-REV-400V,L200A-2,巨一400V,软件|底层,https://hav4xarv6k.feishu.cn/file/ApyfbOEk4oBnewxIoNOcG8E3n1c,https://hav4xarv6k.feishu.cn/drive/folder/T7VWf7JRmlMfyGdTW09cPnlHnXg,试验车,无,NA,无法确认故障工况,
SW-H97a/c-L160A-007,下坡能量回收时仪表显示的动画，前轮为蓝色，后轮为绿色,发生频率1+1+1,"MCUF能量流反馈策略：开管状态下，＞0kW，反馈驱动，反之，反馈发电；
MCUR能量流反馈策略：开管状态下，＞0.5kW，反馈驱动，＜-0.5kW，反馈发电，功率区间内能量流反馈与上一状态相同
基于以上策略，当前MCU反馈能量流正常，只是前后驱状态反馈在同一工况下不一致，因此综合考虑，变更MCU能量流反馈策略来解决",统一MCUF、MCUR能量流反馈策略,H97系列,H97a/c-REV-400V,L160A-2,巨一400V,软件|应用层,http://无,无,试验车,无,NA,无法确认故障工况,
